ID,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,SMUT1,SMUT2,SMUT3,SMUT4,SMUT5,SMUT6,SMUT7,SMUT8,SMUT9,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,VONP 1,VONP2,VONP3,VONP4,VONP5,VONP6,VONP7,VONP8,VOFP1,VOFP2,VOFP3,VOFP4,VOFP5,VOFP6,VOFP7,PLT1,PLT2,PLT3,PLT4,PLT5,PLT6,PLT7,Gender,Age,MS,RL,PI,Education Level,ED,COO
84,1,1,1,1,2,2,2,1,1,5,2,2,2,2,4,4,1,1,2,2,2,2,2,2,2,2,1,4,1,1,4,5,1,5,1,1,1,1,1,3,2,1,1,3,4,2,1,4,3,6,3,4,1,1
85,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,3,5,3,2,2,2,2,2,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,7,5,5,3
86,5,5,5,5,3,5,5,5,5,3,2,4,2,2,2,2,3,2,2,2,2,2,2,1,2,5,4,5,5,5,4,5,5,5,5,5,5,5,5,2,2,2,2,2,2,1,1,1,1,1,2,4,5,3
87,2,2,3,3,2,4,4,2,2,2,2,2,2,2,2,3,4,2,2,2,1,2,3,2,4,4,2,2,2,4,2,2,2,1,2,3,3,3,3,4,2,2,2,3,2,4,1,1,1,1,5,4,5,3
88,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,3,3,3,3,4,3,4,4,4,4,4,5,1,1,1,1,7,5,1,3
89,5,5,4,5,5,5,5,4,4,5,4,2,4,2,3,4,4,2,2,2,2,2,2,3,4,4,4,4,2,5,4,5,2,5,4,5,4,3,4,2,1,1,2,2,3,1,2,4,3,6,3,4,1,1
90,5,3,4,4,3,4,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,1,3,4,3,2,3,3,4,2,4,4,3,4,4,4,4,3,4,2,4,3,2,2,2,5,2,1,1,1,2,5,8,3
91,5,2,3,2,2,5,5,4,5,1,1,1,1,1,4,4,4,4,2,1,1,1,1,2,4,4,4,5,2,5,2,5,1,4,2,1,1,2,5,2,2,2,2,2,2,2,1,1,1,1,2,4,5,3
92,5,5,5,5,5,5,5,5,5,2,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,3,1,7,4,8,3
93,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,3,3,1,5,5,5,5,5,5,5,3,1,1,1,1,3,2,2,1,1,1,2,4,5,3
94,5,5,5,5,3,5,5,5,4,4,2,2,2,2,4,5,5,5,2,4,5,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,4,2,2,3,3,4,2,1,1,1,7,4,5,3
95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,1,1,6,9,1
96,3,2,2,3,2,3,3,2,2,3,2,2,2,1,1,1,3,2,4,3,2,2,2,2,3,5,4,5,5,5,5,5,3,4,2,3,3,2,3,2,5,3,3,3,3,4,1,2,1,1,3,5,1,3
97,3,2,2,3,3,3,4,3,2,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,4,3,4,1,2,4,5,5,5,5,5,5,1,2,3,1,7,5,1,3
98,3,4,3,4,3,3,3,2,2,2,2,4,1,4,1,1,1,2,4,4,2,3,4,4,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,4,1,4,1,7,5,5,1,1
99,4,5,4,4,5,4,4,4,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,5,2,4,5,5,5,1,1,1,1,2,4,8,3
100,4,4,4,4,3,2,5,5,5,3,1,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,1,1,1,1,7,5,5,3
101,5,1,2,2,2,3,3,3,2,5,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,2,1,1,1,1,1,1,5,1,1,1,1,2,5,5,3
102,3,1,1,1,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,4,5,5,4,3,5,3,3,1,3,3,3,1,3,2,3,3,3,1,3,1,1,1,1,7,4,5,3
103,4,2,2,3,3,4,4,4,2,4,2,2,4,2,4,3,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,1,1,1,1,7,4,5,3
104,4,3,2,3,2,3,4,4,3,2,2,2,4,3,4,4,2,4,3,2,2,2,3,2,3,4,3,5,5,5,1,5,5,5,5,5,5,4,4,4,3,2,4,3,4,2,1,1,1,1,2,5,5,3
105,4,5,3,5,3,4,5,3,3,1,1,1,1,1,1,1,2,1,3,3,2,2,1,2,4,5,4,4,1,3,1,1,3,1,1,1,1,3,5,5,5,5,5,5,5,5,1,1,1,1,4,5,9,3
106,1,1,2,1,2,3,2,2,2,2,1,2,1,1,1,1,1,1,3,2,2,3,3,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,3,3,3,5,2,2,3,1,1,1,1,7,5,5,3
107,5,5,5,5,5,5,5,5,5,3,2,2,2,2,4,5,5,5,3,3,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,3,2,1,6,1,1,7,4,5,3
108,5,3,2,4,4,2,5,5,5,3,2,1,1,3,2,2,3,3,1,1,2,1,1,1,4,1,5,5,3,4,4,5,4,5,2,3,5,1,5,4,5,3,4,4,4,5,2,1,1,6,7,4,5,3
109,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3
110,2,2,2,1,1,2,3,1,1,3,1,1,1,1,1,2,2,2,2,2,3,2,3,2,3,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,3,2,2,2,4,4,1,1,1,1,7,5,10,3
111,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,3,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,4,5,3
112,4,3,4,4,4,4,4,4,4,4,1,3,1,1,4,3,4,4,4,1,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,7,2,1,3
113,5,5,5,5,5,5,5,5,5,5,2,2,3,2,3,2,4,4,2,2,2,2,2,2,2,4,2,4,4,4,4,4,5,3,4,2,4,4,4,4,4,2,4,4,4,2,1,1,1,1,7,4,5,3
114,5,5,5,5,5,5,5,5,5,5,2,2,3,2,3,2,4,4,2,2,2,2,2,2,2,4,2,4,4,4,4,4,5,3,4,2,4,4,4,4,4,2,4,4,4,2,1,1,1,1,7,4,5,3
115,4,4,4,4,4,4,4,4,4,4,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,7,2,5,3
